names,scores,logfoldchanges,pvals,pvals_adj,significant
Rok,11.790161,1.1442462,4.387033621658748e-32,2.4847250770946528e-30,True
mRpL33,11.010174,1.0091951,3.4134635333844187e-28,1.6925626727800477e-26,True
CG18467,10.976116,1.1730255,4.978705223700584e-28,2.4410517402770775e-26,True
CG11768,10.2723,1.1511166,9.393848776575246e-25,4.212804536662073e-23,True
Polr2K,9.6497345,1.0220507,4.92830925615287e-22,2.030030834666104e-20,True
robo2,8.292865,1.0998542,1.1055318074744267e-16,3.4836182134805682e-15,True
RabX1,8.085077,1.0076042,6.212487536206345e-16,1.889631625596097e-14,True
SiaT,8.049843,1.0361127,8.290062281476758e-16,2.5041705374391864e-14,True
Yp2,7.096003,5.9365516,1.2841646525374081e-12,3.130598058319396e-11,True
lncRNA:CR43334,6.045095,1.0106106,1.4932186295091538e-09,3.032595485587369e-08,True
CG33774,5.5606546,1.0648111,2.687643243690133e-08,4.888526441777962e-07,True
CG40472,4.1299577,1.1475099,3.6283033123826725e-05,0.00047867375024807546,True
CG12239,4.0760736,1.389272,4.580253975111182e-05,0.0005941217890716774,True
ITP,3.997293,1.556481,6.40709891479027e-05,0.0008102914315721285,True
mnd,3.9660618,1.2407874,7.306993569727539e-05,0.0009152897569706372,True
CG34220,3.836579,5.041826,0.00012476004430439375,0.0015012335001462764,True
lncRNA:CR45333,3.768234,1.0162417,0.0001644065650220546,0.001946218256207025,True
lncRNA:CR43264,3.751108,2.0454683,0.0001760548990795699,0.0020766260088918745,True
ND-MNLL,3.4120936,1.392714,0.0006446596139888401,0.006943301088371607,True
lncRNA:CR45668,3.119944,1.7872716,0.0018088533587252067,0.017645384657497563,True
Egfrap,3.106623,1.1693999,0.00189237614780914,0.018351160577278303,True
Cyp28d1,3.0689545,1.0302922,0.0021480931902314216,0.02042398300987039,True
prage,3.0426629,1.1160651,0.0023449485277981692,0.022119614971477346,True
Muc14A,-3.38649,-3.0462594,0.0007079282218688273,0.007581236214634385,True
18SrRNA-Psi:CR41602,-3.4168963,-1.1214824,0.0006333939136436166,0.006833165866401578,True
Arr1,-4.369185,-1.3352414,1.2471111548713662e-05,0.00017475669755861726,True
28SrRNA-Psi:CR45859,-7.735677,-1.3338647,1.0285430277946075e-14,2.8274174446069336e-13,True
Pdh,-7.9208016,-1.8066286,2.3598455728586164e-15,6.89074907274716e-14,True
Arr2,-9.09031,-1.1619802,9.875706285456338e-20,3.6451342862611315e-18,True
ninaE,-19.963394,-1.8493222,1.1465359228730103e-88,2.3177664656232856e-86,True
lncRNA:roX2,-88.34952,-9.501854,0.0,0.0,True
lncRNA:roX1,-107.34964,-9.567277,0.0,0.0,True
